Company Name,Job Name,Job Skills,Experience--Salary--Location,Details Link
Nexcuit Web Solution,Development Internhip Online Offline IN LUCKNOW(0 - 1 yrs),"software, developer, software, programmer, w, web, designer, php, developer, p, html, Javascript, Ajax, Mysql, Jquery, Wordpress, Codeigniter, web, developer, Java, Script, Css,","0 - 1 yrs  As per Industry Standards   Delhi,  Delhi/NCR,  Gurgaon,  Noida/Greater Noida,  Chandigarh",https://www.timesjobs.com/job-detail/development-internhip-online-offline-in-lucknow-nexcuit-web-solution-delhi-delhi-ncr-gurgaon-noida-greater-noida-chandigarh-0-to-1-yrs-jobid-lT__SLASH__C7CzMPS1zpSvf__PLUS__uAgZw==
VISAWIDE IMMIGRATION PRIVATE LIMITED,IT Project Managers For Canada(5 - 10 yrs),"project, management, developer, IT, Operations, reporting, javaService, Desk, IT, Outsourcing, network, engineer, software, developer, software, engineer, project, manager,","5 - 10 yrs  Rs 38.00 - 82.00 Lacs p.a.   Australia,  Canada,  New Zealand,  Singapore",https://www.timesjobs.com/job-detail/it-project-managers-for-canada-visawide-immigration-pvt-ltd-australia-canada-new-zealand-singapore-5-to-10-yrs-jobid-JdzlDj9frwZzpSvf__PLUS__uAgZw==
PLANET E-COM SOLUTIONS PRIVATE LIMITED,Dot net developer(4 - 7 yrs),"MVC, Jquery, Javascript, Dot, net,",4 - 7 yrs  Rs 4.10 - 5.10 Lacs p.a.   Gurgaon,https://www.timesjobs.com/job-detail/dot-net-developer-planet-e-com-solutions-private-limited-gurgaon-4-to-7-yrs-jobid-9rZ1DESA4ChzpSvf__PLUS__uAgZw==
AppSoft Solutions,"SAP ,  SAP Manager ,  SAP Consultant ,  SAP Abap ,  SAP Basis(0 - 3 yrs)","SAP, SAP, Manager, SAP, Consultant, SAP, Abap, SAP, Basis, SAP, CRM, Sap, Crm, Sales, Sap, Crm, Marketing, Erp, Sap, Abap,","0 - 3 yrs  Rs 3.50 - 6.50 Lacs p.a.   Hyderabad/Secunderabad,  Kolkata,  Mumbai,  Noida/Greater Noida,  Pune",https://www.timesjobs.com/job-detail/sap-sap-manager-sap-consultant-sap-abap-sap-basis-appsoft-solutions-hyderabad-secunderabad-kolkata-mumbai-noida-greater-noida-pune-0-to-3-yrs-jobid-bQcbim6lmRVzpSvf__PLUS__uAgZw==
C DOCTOR INDIA PRIVATE LIMITED,Software Developer  ( .net Developer ) (2 - 4 yrs),"c#, VB.net, SQL, Programming, Crystal, Report,",2 - 4 yrs  Rs 3.00 - 5.00 Lacs p.a.   Ahmedabad,https://www.timesjobs.com/job-detail/software-developer-net-developer-c-doctor-india-private-limited-ahmedabad-2-to-4-yrs-jobid-GJL84R9ApwJzpSvf__PLUS__uAgZw==
AppSoft Solutions,"SAP ,  SAP Manager ,  SAP Consultant ,  SAP Abap ,  SAP Basis(0 - 3 yrs)","SAP, SAP, Manager, SAP, Consultant, SAP, Abap, SAP, Basis, SAP, CRM, Sap, Crm, Sales, Sap, Crm, Marketing, Erp, Sap, Abap,","0 - 3 yrs  Rs 3.50 - 6.50 Lacs p.a.   Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi,  Delhi/NCR",https://www.timesjobs.com/job-detail/sap-sap-manager-sap-consultant-sap-abap-sap-basis-appsoft-solutions-ahmedabad-bengaluru-bangalore-chennai-delhi-delhi-ncr-0-to-3-yrs-jobid-MKYIoRjBF7lzpSvf__PLUS__uAgZw==
SAMPOORNA CONSULTANTS PVT LTD,Application Engineer - Workday - J44814(2 - 6 yrs),"Workday, Technical,",2 - 6 yrs  Rs 6.00 - 18.00 Lacs p.a.   Hyderabad/Secunderabad,https://www.timesjobs.com/job-detail/application-engineer-workday-j44814-leading-firm-hyderabad-secunderabad-2-to-6-yrs-jobid-HUfRRYoTR5JzpSvf__PLUS__uAgZw==
Maxgen Technologies,College Project Internship in Pune(0 - 1 yrs),".,","0 - 1 yrs  As per Industry Standards  10-Dec-2021 - 07-Feb-2022 | 10:00 AM - 04:00 PM |  404 ,4th Floor  Pride Icon Near Tithe Nagar Kharadi Pune",https://www.timesjobs.com/job-detail/college-project-internship-in-pune-maxgen-technologies-pune-amravati-aurangabad-sangli-satara-0-to-1-yrs-jobid-DHrs5UGsid9zpSvf__PLUS__uAgZw==
Sapphire Software Solutions,Flutter Developer(1 - 4 yrs),"flutter, dart,",1 - 4 yrs  As per Industry Standards   Ahmedabad,https://www.timesjobs.com/job-detail/flutter-developer-sapphire-software-solutions-ahmedabad-1-to-4-yrs-jobid-RlvyuDPt3CpzpSvf__PLUS__uAgZw==
Nexcuit Web Solution,PHP  ONLINE INTERNHSIP IN DEHRADUN(0 - 1 yrs),"PHP, Mysql, Javascript, Jquery,","0 - 1 yrs  As per Industry Standards   Delhi,  Dehradun,  Haldwani,  Nainital,  Roorkee",https://www.timesjobs.com/job-detail/php-online-internhsip-in-dehradun-nexcuit-web-solution-delhi-dehradun-haldwani-nainital-roorkee-0-to-1-yrs-jobid-__SLASH__9e3wjQOfIhzpSvf__PLUS__uAgZw==
